row_index,column_index,tourism_quality,fishing_quality,coral_km2,mangroves_km2,seagrass_km2,cv_score,not_sure_what_this_is
22,9,4,1,0,0.1,6.63,2,2.59703
22,10,1,2,0,0,44.74,3,3.93885
22,11,0,0,0,0,23.825,0,0
22,17,0,0,0,0,6.4,0,0
22,18,0,0,4.01,0,5.105,0,0
23,3,1,0,0,0,0,0,0
23,4,2,0,0,0,0,0,0
23,5,4,1,0,9.675,1.68,0,0
23,6,1,1,0,11.73,11.115,1,1.02528
23,7,1,2,0,5.075,39.13,1,1.00717
23,8,1,2,0,9.46,28.115,1,0.878229
23,9,2,1,0,0.165,42.68,1,1.24109
23,10,0,0,0,0,21.095,0,0
23,13,0,0,1.265,0,0,0,0
23,14,0,0,0.725,0,0,0,0
23,17,0,0,2.5,0,8.15,0,0
23,18,0,0,0.595,0,0,0,0
24,3,1,0,0,0,0,0,0
24,4,2,0,0,0,0,0,0
24,5,1,1,0,7.835,25.55,1,1.1805
24,6,1,2,0,2.9,47.205,0,0
24,7,2,2,0,4.405,46.085,0,0
24,8,4,3,0.005,0.395,38.745,0,0
24,9,4,0,3.95,0,16.325,0,0
24,10,0,0,0.05,0,0,0,0
24,13,0,0,7.485,0,0,0,0
24,14,0,0,6.32,0,0,0,0
24,15,0,0,0.835,0,0,0,0
24,16,0,0,0.59,0,0,0,0
24,17,0,0,2.41,0,1.66,0,0
25,3,2,0,0,0,0,0,0
25,4,3,0,0,1.17,0,0,0
25,5,4,1,0,10.07,27.64,1,1.34852
25,6,4,1,0,2.32,48.28,0,0
25,7,2,1,0,2.52,47.495,0,0
25,8,0,0,2.955,0,3.465,0,0
25,9,3,2,9.095,0,0,0,0
25,12,0,0,3.395,0,0,0,0
25,13,0,0,5.7,0,0,0,0
25,14,0,0,6.54,0,0,0,0
25,16,0,0,4.65,0,0,0,0
26,3,3,0,0,0,0,0,0
26,4,4,1,0,2.01,22.845,1,1.15676
26,5,4,1,0,0.72,47.34,1,1.13088
26,6,0,0,0,0,50,0,0
26,7,0,0,0,0,38.74,0,0
26,8,0,0,0,0,0.155,0,0
26,13,0,0,3.25,0,0,0,0
26,14,0,0,5.91,0,0,0,0
26,15,1,1,19.855,0,0,0,0
26,16,0,0,3.03,0,0,0,0
27,2,3,0,0,1.52,0,0,0
27,3,4,1,0,1.575,21.79,1,1.39902
27,4,4,1,0,0.1,43.905,0,0
27,5,0,0,0,0,40.11,0,0
27,6,0,0,0,0,32.92,0,0
27,7,0,0,0,0,2.96,0,0
27,13,0,0,0.525,0,0,0,0
27,14,0,0,11.75,0,0,0,0
27,15,0,0,6.025,0,0,0,0
28,0,2,0,0,1.215,0,0,0
28,1,4,1,0,0.01,0.02,0,0
28,2,4,1,0,0.89,13.49,2,1.79428
28,3,4,1,0,0.32,44.865,0,0
28,4,0,0,0,0,2.78,0,0
28,5,0,0,0,0,0.135,0,0
28,6,0,0,0,0,0.165,0,0
28,13,0,0,0.19,0,0,0,0
28,14,0,0,0.58,0,0,0,0
29,0,2,0,0,3.11,0,0,0
29,1,4,1,0,1.095,25.88,2,1.62392
29,2,0,0,0,0,46.105,0,0
29,3,0,0,0,0,23.97,0,0
30,0,3,0,0,0.03,0,0,0
30,1,4,1,0,1.315,24.41,2,2.34504
30,2,0,0,0,0,44.64,0,0
30,3,0,0,0,0,4.545,0,0
31,0,3,0,0,0,0,0,0
31,1,4,1,0,0.04,4.44,2,1.83174
31,2,0,0,0,0,2.2,0,0
